"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @okzvch: retweet to save a life <U+0001F497>

suicide - 1 (800)-273-8255
sexual assault - 1 (800)-656-4673
domestic violence - 1 (800)-799-7233
tee…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506307272704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tima16_",45330,TRUE,FALSE,NA,NA
"Wild Horses is the most underrated Rolling Stones song.",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506303225856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","frytagger",0,FALSE,FALSE,NA,NA
"@heavywait_ You wish you had what we have",FALSE,0,"heavywait_",2019-10-08 03:46:20,FALSE,"1181415393094705152","1181415506290626561","808849791497207808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taylorbarlow58",0,FALSE,FALSE,NA,NA
"RT @bunnydelphine: I stg this girl came to my party and stole my hamster. I have no idea why, or who tf does that? I spray painted the fucc…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506290495488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tootap3",7494,TRUE,FALSE,NA,NA
"@SheGotFreckles Oh aight....",FALSE,0,"SheGotFreckles",2019-10-08 03:46:20,FALSE,"1181413811233923073","1181415506277994497","130948079","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_STAND_TALL",0,FALSE,FALSE,NA,NA
"goodnight gamers https://t.co/AudvfZQrwd",FALSE,3,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506273853440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sitrolol",0,FALSE,FALSE,NA,NA
"RT @iSmashFizzle: Rich people who CONSTANTLY get stuff for free are always so concerned someone living in poverty MIGHT get something for f…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506265423872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaidenElyse",2162,TRUE,FALSE,NA,NA
"RT @DemDawg_: How Guys &amp; Girls Use To Take Pics Back In Middle School <U+0001F602><U+0001F62D> https://t.co/UsxQQmCkuV",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506261225472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daddyygangg",5908,TRUE,FALSE,NA,NA
"RT @KaceyMusgraves: TEXASS <U+2B50><U+FE0F> https://t.co/7KcGkE2S9N",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506257104896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_nicolezamora",5562,TRUE,FALSE,NA,NA
"RT @BoonHolly: I hate the internet <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F480><U+0001F480><U+0001F480><U+0001F480> https://t.co/FbmjASD39U",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506256916480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yoboii_Seabass",44374,TRUE,FALSE,NA,NA
"RT @s_cristine02: Everyone’s story is different, but it doesn’t mean we don’t all hurt the same",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506252894208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellejohsonnn",2,TRUE,FALSE,NA,NA
"@_beautyfuleddy Tell me what Stefan and Gabi ever did for them Stefan raped Abigail no big deal and Gabi only thoug… https://t.co/rp82j3nq7o",FALSE,0,"_beautyfuleddy",2019-10-08 03:46:20,TRUE,"1181269021360041984","1181415506252836865","123354057","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CathyCkobiske",0,FALSE,FALSE,NA,NA
